日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2021/01/04,28.424,4.408847,1.2268,102.905,1.3677,0.77205,7.75215,6.44705,14.56295,0.7208
2021/01/05,28.402,4.406343,1.22705,102.925,1.3579,0.77155,7.7526,6.4457,14.75425,0.7216
2021/01/06,28.407,4.413283,1.2332,102.765,1.36475,0.77945,7.753,6.4367,14.93605,0.72935
2021/01/07,28.429,4.410958,1.2298,103.385,1.35855,0.7776,7.7529,6.4451,15.1207,0.7274
2021/01/08,28.457,4.399566,1.2218,104.055,1.3564,0.7757,7.753,6.46815,15.3948,0.72475
2021/01/11,28.485,4.401502,1.21945,104.115,1.35005,0.77175,7.7542,6.47165,15.4332,0.71985
2021/01/12,28.481,4.407947,1.2155,104.215,1.3548,0.77205,7.75435,6.4613,15.45495,0.71815
2021/01/13,28.445,4.408804,1.22055,103.68,1.3684,0.7763,7.75375,6.45185,15.25675,0.7215
2021/01/14,28.467,4.405183,1.2152,104.01,1.3666,0.77565,7.75305,6.46215,15.2251,0.7194
2021/01/15,28.48,4.401755,1.21245,103.68,1.36635,0.77445,7.75365,6.47015,15.1585,0.7188
2021/01/18,28.49,4.385323,1.207,103.765,1.3551,0.76765,7.75315,6.49665,15.2729,0.71045
2021/01/19,28.471,4.384933,1.21145,104.015,1.3593,0.77145,7.75205,6.4929,15.0916,0.71305
2021/01/20,28.415,4.394607,1.2144,103.785,1.3661,0.77325,7.75165,6.4659,14.90675,0.71385
2021/01/21,28.373,4.388764,1.2126,103.545,1.36995,0.77615,7.75175,6.4649,14.8715,0.72045
2021/01/22,28.381,4.376804,1.2159,103.66,1.3664,0.77295,7.7518,6.4844,15.0781,0.71835
2021/01/25,28.391,4.37704,1.2174,103.755,1.3696,0.7732,7.75145,6.48635,15.124,0.7209
2021/01/26,28.41,4.380737,1.21265,103.785,1.36235,0.76875,7.75135,6.4852,15.3142,0.7183
2021/01/27,28.38,4.382071,1.2153,103.685,1.3743,0.7737,7.7516,6.4764,15.07645,0.72275
2021/01/28,28.422,4.376221,1.21045,104.275,1.3664,0.7625,7.75295,6.49465,15.30925,0.7139
2021/01/29,28.412,4.390137,1.21045,104.565,1.368,0.7646,7.7529,6.4718,15.19575,0.71565
2021/02/01,28.385,4.391188,1.213,104.68,1.3756,0.7654,7.7528,6.4641,15.0721,0.71945
2021/02/02,28.387,4.38951,1.20735,104.975,1.3685,0.76215,7.75245,6.467,14.92905,0.7179
2021/02/03,28.377,4.392618,1.2039,105.045,1.36695,0.76235,7.7511,6.46015,14.9161,0.72175
2021/02/04,28.382,4.391547,1.2008,105.155,1.359,0.7632,7.75265,6.46285,14.96715,0.72
2021/02/05,28.39,4.383274,1.198,105.455,1.3697,0.7618,7.75265,6.4769,14.928,0.71685
